Skill,language/techonology,from font-awesome-5,from font-awesome-5
skill,type,icon_type,icon
R,language,fab,r-project
Python,language,fab,python
Bash,language,fas,code
Nextflow,language,fas,project-diagram
SQL,language,fas,server
GitLab/GitHub,technology,fab,github
Docker,technology,fab,docker
AWS,technology,fab,aws
Azure,technology,fab,microsoft
[bixverse](https://github.com/GregorLueg/bixverse),projects,fab,r-project
[manifoldsR](https://github.com/GregorLueg/manifoldsR),projects,fab,r-project
[cosyne-cnvutils](https://github.com/cosyne-therapeutics/cosyne-cnvutils),projects,fab,python
[Sarek](https://github.com/nf-core/sarek),projects,fas,project-diagram
DuckDB,technology,fas,database
MCP/LLM Agents,technology,fas,robot
